feature
FCT_Ar_Vol_1@10_1_5
FCT_Ar_Vol_1@20_1_5
FCT_Ar_Vol_1@50_1_5
FCT_Ar_Vol_1@80_1_5
FCT_Ar_Vol_1@100_1_5
FCT_Ar_Vol_1@120_1_5
FCT_Ar_Vol_1@180_1_5
FCT_Ar_Vol_1@300_1_5
FCT_Atr_DFive_1@10_1_5
FCT_Avg_Amt_Big_Count_1@10_5_200
FCT_Avg_Amt_Big_Count_1@20_10_200
FCT_Bbiboll_Down@10_200
FCT_Bbiboll_Down@20_200
FCT_Bbiboll_Down@50_200
FCT_Bbiboll_Down@80_200
FCT_Bbiboll_Down@100_200
FCT_Bbiboll_Down@120_200
FCT_Bbiboll_Down@180_200
FCT_Bbiboll_Down@300_200
FCT_Bbiboll_Up@10_200
FCT_Bbiboll_Up@20_200
FCT_Bbiboll_Up@50_200
FCT_Bbiboll_Up@80_200
FCT_Bbiboll_Up@100_200
FCT_Bbiboll_Up@120_200
FCT_Bbiboll_Up@180_200
FCT_Bbiboll_Up@300_200
FCT_Bias_Vol_Dfive@10_1_5
FCT_Bias_Vol_Dfive@20_1_5
FCT_Bias_Vol_Dfive@50_1_5
FCT_Bias_Vol_Dfive@80_1_5
FCT_Bias_Vol_Dfive@100_1_5
FCT_Bias_Vol_Dfive@120_1_5
FCT_Bias_Vol_Dfive@180_1_5
FCT_Bias_Vol_Dfive@300_1_5
FCT_Br_Ref_1@10
FCT_Br_Ref_1@20
FCT_Br_Ref_1@50
FCT_Br_Ref_1@80
FCT_Br_Ref_1@100
FCT_Br_Ref_1@120
FCT_Br_Ref_1@180
FCT_Br_Ref_1@300
FCT_Cr_Ref_1@10
FCT_Cr_Ref_1@20
FCT_Cr_Ref_1@50
FCT_Cr_Ref_1@80
FCT_Cr_Ref_1@100
FCT_Cr_Ref_1@120
FCT_Cr_Ref_1@180
FCT_Cr_Ref_1@300
FCT_Macd_1@10
FCT_Macd_1@20
FCT_Macd_1@50
FCT_Macd_1@80
FCT_Macd_1@100
FCT_Macd_1@120
FCT_Macd_1@180
FCT_Macd_1@300
FCT_Mfi_Atr_Dfive@10_1_5
FCT_Mfi_Atr_Dfive@20_1_5
FCT_Mfi_Atr_Dfive@50_1_5
FCT_Mfi_Atr_Dfive@80_1_5
FCT_Mfi_Atr_Dfive@100_1_5
FCT_Mfi_Atr_Dfive@120_1_5
FCT_Mfi_Atr_Dfive@180_1_5
FCT_Mfi_Atr_Dfive@300_1_5
FCT_Rsi_1@10
FCT_Rsi_1@20
FCT_Rsi_1@50
FCT_Rsi_1@80
FCT_Rsi_1@100
FCT_Rsi_1@120
FCT_Rsi_1@180
FCT_Rsi_1@300
FCT_Vmacd@10
FCT_Vmacd@20
FCT_Vmacd@50
FCT_Vmacd@80
FCT_Vmacd@100
FCT_Vmacd@120
FCT_Vmacd@180
FCT_Vmacd@300
FCT_CHG@24
FCT_CHG@48
FCT_CHG@72
FCT_CHG@144
