total_profit_all,总利润/总亏损,总利润/手续费,fee,factor_name,is_enter,index,count
-71780830.22038054,0.8898667453570408,-0.7294176854419218,98408403.92688276,FCT_Ar_Vol_1@10_1_5,False,1,125890
-43207836.45235813,0.931993765113733,-0.4879635919371036,88547254.68519674,FCT_Ar_Vol_1@20_1_5,False,2,113250
-41049743.38065863,0.9173293018191486,-0.5782224253497138,70992997.81711406,FCT_Ar_Vol_1@50_1_5,False,3,90793
-26625918.571737528,0.9456201748172764,-0.39909511446749657,66715721.65764013,FCT_Ar_Vol_1@80_1_5,False,4,85267
-34464925.12772989,0.9312099061247046,-0.48414524623802063,71187160.04243462,FCT_Ar_Vol_1@100_1_5,False,5,91043
-24573734.70747143,0.9486269559843236,-0.3545922612484158,69301384.69732669,FCT_Ar_Vol_1@120_1_5,False,6,88588
11089842.200226128,1.034177973898962,0.3883979382504761,28552783.390611973,FCT_Ar_Vol_1@180_1_5,False,7,36535
3492035.5662778616,1.0104794840527531,0.10386970303060476,33619385.29129084,FCT_Ar_Vol_1@300_1_5,False,8,42989
-42510414.107137024,0.9042905700248235,-0.5925163780011128,71745551.15345214,FCT_Atr_DFive_1@10_1_5,False,9,91806
-70177250.76407635,0.8786786622456934,-0.748170504099781,93798472.91429314,FCT_Avg_Amt_Big_Count_1@10_5_200,False,10,119959
-63707505.16198552,0.8940594917556097,-0.7477676563477748,85196925.30316687,FCT_Avg_Amt_Big_Count_1@20_10_200,False,11,109022
-105842895.78612632,0.831003069828741,-0.8796345077365427,120325993.18832894,FCT_Bbiboll_Down@10_200,False,12,153930
-113235611.05480063,0.8319219007727984,-0.9329559461201294,121372945.34185879,FCT_Bbiboll_Down@20_200,False,13,155146
-55016793.244921505,0.878008070256672,-0.7795683061263308,70573409.4274555,FCT_Bbiboll_Down@50_200,False,14,90248
-71780830.22038054,0.8898667453570408,-0.7294176854419218,98408403.92688276,FCT_Ar_Vol_1@10_1_5,False,1,125890
-43207836.45235813,0.931993765113733,-0.4879635919371036,88547254.68519674,FCT_Ar_Vol_1@20_1_5,False,2,113250
-41049743.38065863,0.9173293018191486,-0.5782224253497138,70992997.81711406,FCT_Ar_Vol_1@50_1_5,False,3,90793
-26625918.571737528,0.9456201748172764,-0.39909511446749657,66715721.65764013,FCT_Ar_Vol_1@80_1_5,False,4,85267
-34464925.12772989,0.9312099061247046,-0.48414524623802063,71187160.04243462,FCT_Ar_Vol_1@100_1_5,False,5,91043
-24573734.70747143,0.9486269559843236,-0.3545922612484158,69301384.69732669,FCT_Ar_Vol_1@120_1_5,False,6,88588
-490474.7123866081,0.9990741674915614,-0.006654410547908032,73706710.58773196,,False,0,94302
-6661581.918558359,0.9867362158556896,-0.10598197301967746,62855802.06476734,,False,0,80381
-6661581.918558359,0.9867362158556896,-0.10598197301967746,62855802.06476734,,False,0,80381
