underlying_symbol,datetime,trading_date,dominant_id,open,close,high,low,total_turnover,volume,open_interest
CJ,2019-04-30 09:05:00,2019-04-30,CJ1912,8900.0,8865.0,9020.0,8825.0,0,89256.0,34740.0
CJ,2019-04-30 09:10:00,2019-04-30,CJ1912,8860.0,8790.0,8870.0,8770.0,0,54588.0,44114.0
CJ,2019-04-30 09:15:00,2019-04-30,CJ1912,8785.0,8800.0,8830.0,8755.0,0,41944.0,52592.0
CJ,2019-04-30 09:20:00,2019-04-30,CJ1912,8805.0,8800.0,8840.0,8720.0,0,38244.0,53878.0
CJ,2019-04-30 09:25:00,2019-04-30,CJ1912,8800.0,8780.0,8825.0,8755.0,0,24450.0,57042.0
CJ,2019-04-30 09:30:00,2019-04-30,CJ1912,8780.0,8765.0,8790.0,8760.0,0,14266.0,59082.0
CJ,2019-04-30 09:35:00,2019-04-30,CJ1912,8770.0,8790.0,8815.0,8765.0,0,16072.0,60166.0
CJ,2019-04-30 09:40:00,2019-04-30,CJ1912,8795.0,8785.0,8800.0,8770.0,0,11220.0,61478.0
CJ,2019-04-30 09:45:00,2019-04-30,CJ1912,8790.0,8790.0,8795.0,8770.0,0,7262.0,62878.0
CJ,2019-04-30 09:50:00,2019-04-30,CJ1912,8785.0,8775.0,8795.0,8775.0,0,7646.0,63180.0
CJ,2019-04-30 09:55:00,2019-04-30,CJ1912,8780.0,8785.0,8795.0,8770.0,0,6962.0,63504.0
CJ,2019-04-30 10:00:00,2019-04-30,CJ1912,8785.0,8785.0,8790.0,8780.0,0,2876.0,63578.0
CJ,2019-04-30 10:05:00,2019-04-30,CJ1912,8780.0,8785.0,8790.0,8780.0,0,3264.0,63346.0
CJ,2019-04-30 10:10:00,2019-04-30,CJ1912,8785.0,8845.0,8880.0,8780.0,0,33668.0,61430.0
CJ,2019-04-30 10:15:00,2019-04-30,CJ1912,8840.0,8875.0,8895.0,8825.0,0,30578.0,61920.0
CJ,2019-04-30 10:35:00,2019-04-30,CJ1912,8875.0,8845.0,8885.0,8840.0,0,19000.0,64006.0
CJ,2019-04-30 10:40:00,2019-04-30,CJ1912,8845.0,8795.0,8845.0,8770.0,0,38890.0,62356.0
CJ,2019-04-30 10:45:00,2019-04-30,CJ1912,8795.0,8815.0,8820.0,8785.0,0,14236.0,62282.0
CJ,2019-04-30 10:50:00,2019-04-30,CJ1912,8815.0,8815.0,8815.0,8790.0,0,7244.0,63284.0
