_id,startTime,endTime,instrument,instrument_id,ins_id_ex
65868f78f30b23a817da9e05,2018-07-31,2018-12-21,A,A1901,a1901
65868f78f30b23a817da9e06,2018-12-24,2019-04-19,A,A1905,a1905
65868f78f30b23a817da9e07,2019-04-22,2019-08-09,A,A1909,a1909
65868f78f30b23a817da9e08,2019-08-12,2019-12-04,A,A2001,a2001
65868f78f30b23a817da9e09,2019-12-05,2020-04-07,A,A2005,a2005
65868f78f30b23a817da9e0a,2020-04-08,2020-08-18,A,A2009,a2009
65868f78f30b23a817da9e0b,2020-08-19,2020-12-14,A,A2101,a2101
65868f78f30b23a817da9e0c,2020-12-15,2021-04-20,A,A2105,a2105
65868f78f30b23a817da9e0d,2021-04-21,2021-07-28,A,A2109,a2109
65868f78f30b23a817da9e0e,2021-07-29,2021-10-14,A,A2111,a2111
65868f78f30b23a817da9e0f,2021-10-15,2021-12-01,A,A2201,a2201
65868f78f30b23a817da9e10,2021-12-02,2022-02-17,A,A2203,a2203
65868f78f30b23a817da9e11,2022-02-18,2022-06-15,A,A2207,a2207
65868f78f30b23a817da9e12,2022-06-16,2022-08-23,A,A2209,a2209
65868f78f30b23a817da9e13,2022-08-24,2022-10-12,A,A2211,a2211
65868f78f30b23a817da9e14,2022-10-13,2022-12-12,A,A2301,a2301
65868f78f30b23a817da9e15,2022-12-13,2023-04-06,A,A2305,a2305
65868f78f30b23a817da9e16,2023-04-07,2023-06-12,A,A2307,a2307
65868f78f30b23a817da9e17,2023-06-13,2023-08-16,A,A2309,a2309
65868f78f30b23a817da9e18,2023-08-17,2023-10-17,A,A2311,a2311
65868f78f30b23a817da9e19,2023-10-18,2023-12-13,A,A2401,a2401
65868f78f30b23a817da9e1a,2023-12-14,2024-02-22,A,A2403,a2403
65868f78f30b23a817da9e1b,2012-05-10,2012-07-24,AG,AG1209,ag1209
65868f78f30b23a817da9e1c,2012-07-25,2012-11-01,AG,AG1212,ag1212
65868f78f30b23a817da9e1d,2012-11-02,2012-12-17,AG,AG1301,ag1301
65868f78f30b23a817da9e1e,2012-12-18,2013-05-07,AG,AG1306,ag1306
65868f78f30b23a817da9e1f,2013-05-08,2013-11-26,AG,AG1312,ag1312
65868f78f30b23a817da9e20,2013-11-27,2014-05-12,AG,AG1406,ag1406
65868f78f30b23a817da9e21,2014-05-13,2014-11-05,AG,AG1412,ag1412
65868f78f30b23a817da9e22,2014-11-06,2015-05-06,AG,AG1506,ag1506
65868f78f30b23a817da9e23,2015-05-07,2015-11-17,AG,AG1512,ag1512
65868f78f30b23a817da9e24,2015-11-18,2016-05-09,AG,AG1606,ag1606
