_id,date
64effb537c52d7e5a70920ca,2007-10-29T00:00:00.000Z
64effb537c52d7e5a70920cb,2007-10-30T00:00:00.000Z
64effb537c52d7e5a70920cc,2007-10-31T00:00:00.000Z
64effb537c52d7e5a70920cd,2007-11-01T00:00:00.000Z
64effb537c52d7e5a70920ce,2007-11-02T00:00:00.000Z
64effb537c52d7e5a70920cf,2007-11-05T00:00:00.000Z
64effb537c52d7e5a70920d0,2007-11-06T00:00:00.000Z
64effb537c52d7e5a70920d1,2007-11-07T00:00:00.000Z
64effb537c52d7e5a70920d2,2007-11-08T00:00:00.000Z
64effb537c52d7e5a70920d3,2007-11-09T00:00:00.000Z
64effb537c52d7e5a70920d4,2007-11-12T00:00:00.000Z
64effb537c52d7e5a70920d5,2007-11-13T00:00:00.000Z
64effb537c52d7e5a70920d6,2007-11-14T00:00:00.000Z
64effb537c52d7e5a70920d7,2007-11-15T00:00:00.000Z
64effb537c52d7e5a70920d8,2007-11-16T00:00:00.000Z
64effb537c52d7e5a70920d9,2007-11-19T00:00:00.000Z
64effb537c52d7e5a70920da,2007-11-20T00:00:00.000Z
64effb537c52d7e5a70920db,2007-11-21T00:00:00.000Z
64effb537c52d7e5a70920dc,2007-11-22T00:00:00.000Z
64effb537c52d7e5a70920dd,2007-11-23T00:00:00.000Z
64effb537c52d7e5a70920de,2007-11-26T00:00:00.000Z
64effb537c52d7e5a70920df,2007-11-27T00:00:00.000Z
64effb537c52d7e5a70920e0,2007-11-28T00:00:00.000Z
64effb537c52d7e5a70920e1,2007-11-29T00:00:00.000Z
64effb537c52d7e5a70920e2,2007-11-30T00:00:00.000Z
64effb537c52d7e5a70920e3,2007-12-03T00:00:00.000Z
64effb537c52d7e5a70920e4,2007-12-04T00:00:00.000Z
64effb537c52d7e5a70920e5,2007-12-05T00:00:00.000Z
64effb537c52d7e5a70920e6,2007-12-06T00:00:00.000Z
64effb537c52d7e5a70920e7,2007-12-07T00:00:00.000Z
64effb537c52d7e5a70920e8,2007-12-10T00:00:00.000Z
64effb537c52d7e5a70920e9,2007-12-11T00:00:00.000Z
64effb537c52d7e5a70920ea,2007-12-12T00:00:00.000Z
64effb537c52d7e5a70920eb,2007-12-13T00:00:00.000Z
64effb537c52d7e5a70920ec,2007-12-14T00:00:00.000Z
64effb537c52d7e5a70920ed,2007-12-17T00:00:00.000Z
64effb537c52d7e5a70920ee,2007-12-18T00:00:00.000Z
64effb537c52d7e5a70920ef,2007-12-19T00:00:00.000Z
64effb537c52d7e5a70920f0,2007-12-20T00:00:00.000Z
64effb537c52d7e5a70920f1,2007-12-21T00:00:00.000Z
64effb537c52d7e5a70920f2,2007-12-24T00:00:00.000Z
64effb537c52d7e5a70920f3,2007-12-25T00:00:00.000Z
64effb537c52d7e5a70920f4,2007-12-26T00:00:00.000Z
64effb537c52d7e5a70920f5,2007-12-27T00:00:00.000Z
64effb537c52d7e5a70920f6,2007-12-28T00:00:00.000Z
64effb537c52d7e5a70920f7,2008-01-02T00:00:00.000Z
64effb537c52d7e5a70920f8,2008-01-03T00:00:00.000Z
64effb537c52d7e5a70920f9,2008-01-04T00:00:00.000Z
64effb537c52d7e5a70920fa,2008-01-07T00:00:00.000Z
64effb537c52d7e5a70920fb,2008-01-08T00:00:00.000Z
64effb537c52d7e5a70920fc,2008-01-09T00:00:00.000Z
64effb537c52d7e5a70920fd,2008-01-10T00:00:00.000Z
64effb537c52d7e5a70920fe,2008-01-11T00:00:00.000Z
64effb537c52d7e5a70920ff,2008-01-14T00:00:00.000Z
64effb537c52d7e5a7092100,2008-01-15T00:00:00.000Z
64effb537c52d7e5a7092101,2008-01-16T00:00:00.000Z
64effb537c52d7e5a7092102,2008-01-17T00:00:00.000Z
64effb537c52d7e5a7092103,2008-01-18T00:00:00.000Z
64effb537c52d7e5a7092104,2008-01-21T00:00:00.000Z
64effb537c52d7e5a7092105,2008-01-22T00:00:00.000Z
64effb537c52d7e5a7092106,2008-01-23T00:00:00.000Z
